Year	Institution Name	Undergrads	RealWhite	RealBlack	RealHispanic	RealAsian	Native Hawaiin and Pacific Islander	RealUnknown	American Indian	Multi-Racial
1996	0	44141	0.7966	0.1536	0.0302	0.0033	0.0163	0	0	0
1996	1	41150	0.135	0.2065	0.6162	0.0008	0.0153	0.0262	0	0
1996	2	37087	0.7679	0.0352	0.0175	0.0061	0.0811	0.0921	0	0
1996	3	35314	0.8016	0.0728	0.0183	0.0032	0.0508	0.0533	0	0
1996	4	34436	0.6482	0.042	0.1483	0.0044	0.1262	0.0309	0	0
1996	5	34298	0.8021	0.0329	0.107	0.0032	0.0331	0.0217	0	0
1996	6	32050	0.8245	0.0813	0.0217	0.0055	0.039	0.0281	0	0
1996	7	31787	0.4161	0.2279	0.206	0.0035	0.1413	0.0051	0	0
1996	8	31649	0.8851	0.03	0.0238	0.0013	0.0516	0.0082	0	0
1996	9	30680	0.7392	0.0291	0.1024	0.0214	0.0443	0.0635	0	0
1996	10	29269	0.8726	0.0354	0.0205	0.0047	0.0359	0.031	0	0
1996	11	28463	0.7547	0.066	0.1037	0.0027	0.0617	0.0112	0	0
1996	12	28418	0.8689	0.0027	0.0195	0.0063	0.0187	0.0839	0	0
1996	13	26847	0.8224	0.0306	0.0394	0.0016	0.0794	0.0266	0	0
1996	14	26644	0.8699	0.0191	0.0213	0.005	0.0446	0.0402	0	0
1996	15	26311	0.7228	0.0723	0.0536	0.0022	0.1279	0.0211	0	0
1996	16	26139	0.5964	0.0389	0.2734	0.0345	0.0277	0.0291	0	0
1996	17	25451	0.8773	0.0383	0.0189	0.0023	0.0306	0.0325	0	0
1996	18	25158	0.7119	0.0263	0.1424	0.0217	0.0551	0.0426	0	0
1996	19	25157	0.5918	0.0832	0.0828	0.0033	0.1712	0.0678	0	0
1996	20	25017	0.6707	0.0339	0.0381	0.016	0.2199	0.0214	0	0
1996	21	24313	0.7438	0.0963	0.0897	0.0031	0.0477	0.0193	0	0
1996	22	24239	0.4544	0.0586	0.208	0.0103	0.153	0.1158	0	0
1996	23	23912	0.3305	0.0601	0.1691	0.0097	0.377	0.0535	0	0
1996	24	23590	0.6733	0.0881	0.044	0.007	0.1115	0.0762	0	0
1997	1	41800	0.1198	0.2035	0.6352	0.0008	0.0158	0.0249	0	0
1997	0	41694	0.7926	0.1599	0.0277	0.0035	0.0164	0	0	0
1997	4	35701	0.6546	0.0374	0.143	0.005	0.1309	0.0291	0	0
1997	3	35418	0.7943	0.076	0.0169	0.0039	0.0531	0.0559	0	0
1997	5	33926	0.8009	0.0312	0.1056	0.0039	0.0334	0.025	0	0
1997	6	33032	0.8199	0.0838	0.0214	0.0062	0.0386	0.0301	0	0
1997	8	32903	0.8773	0.0333	0.0256	0.0013	0.053	0.0095	0	0
1997	9	32537	0.7329	0.0301	0.1047	0.0224	0.0475	0.0624	0	0
1997	7	30710	0.3927	0.2366	0.2135	0.0029	0.146	0.0083	0	0
1997	11	30100	0.7554	0.067	0.1002	0.0032	0.0615	0.0128	0	0
1997	10	29762	0.86	0.0389	0.0203	0.0058	0.0345	0.0405	0	0
1997	12	29259	0.8818	0.0024	0.0196	0.0057	0.0196	0.0709	0	0
1997	14	27292	0.8718	0.0187	0.0214	0.0043	0.0441	0.0397	0	0
1997	16	26429	0.5932	0.0355	0.2745	0.0362	0.0287	0.0318	0	0
1997	15	26391	0.7187	0.0734	0.0534	0.0021	0.129	0.0234	0	0
1997	13	26192	0.824	0.0297	0.0419	0.0017	0.0863	0.0164	0	0
1997	2	26072	0.8046	0.0371	0.0191	0.0079	0.0844	0.0469	0	0
1997	19	25883	0.5669	0.0824	0.0816	0.0032	0.1749	0.091	0	0
