Year	Harvard University	Princeton University	Yale University	Stanford University	Massachusetts Institute of Technology	Duke University	California Institute of Technology	University of Chicago	University of Pennsylvania	Columbia University	Dartmouth College	University of California at Berkeley	Brown University	Cornell University	University of Michigan at Ann Arbor	Johns Hopkins University	Northwestern University	University of Illinois at Urbana-Champaign	University of North Carolina at Chapel Hill	Rice University	Washington University in St. Louis
Location	Cambridge, MA	Princeton, NJ	New Haven, CT	Stanford, CA	Cambridge, MA	Durham, NC	Pasadena, CA	Chicago, IL	Philadelphia, PA	New York, NY	Hanover, NH	Berkeley, CA	Providence, RI	Ithaca, NY	Ann Arbor, MI	Baltimore, MD	Evanston, IL	Champaign, IL	Chapel Hill, NC	Houston, TX	St. Louis, MO
1983	2	4	3	1	10	11	11	6	11	11	10	5	11	8	7	11	11	8	11	11	11
1984	2	4	3	1	10	11	11	6	11	11	10	5	11	8	7	11	11	8	11	11	11
1985	2	4	2	1	11	6	11	5	11	11	10	7	7	11	11	11	11	11	9	11	11
1986	2	4	2	1	11	6	11	5	11	11	10	7	7	11	11	11	11	11	9	11	11
1987	2	4	2	1	11	6	11	5	11	11	10	7	7	11	11	11	11	11	9	11	11
1988	2	4	3	1	11	7	11	8	11	11	6	5	10	11	8	11	11	11	11	11	11
1989	4	2	1	6	5	11	3	10	11	8	7	11	11	11	11	11	11	11	11	9	11
1990	3	2	1	6	7	5	4	9	11	11	8	11	11	11	11	11	11	11	11	10	11
1991	1	4	3	2	6	7	5	11	11	10	8	11	11	9	11	11	11	11	11	11	11
1992	1	4	2	3	6	7	4	10	11	9	8	11	11	11	11	11	11	11	11	11	11
1993	1	2	3	4	5	7	5	9	11	10	7	11	11	11	11	11	11	11	11	11	11
1994	1	2	3	6	4	7	5	9	11	11	8	11	11	10	11	11	11	11	11	11	11
1995	1	2	3	5	4	6	7	10	11	9	8	11	11	11	11	11	11	11	11	11	11
1996	1	2	2	4	5	6	7	11	11	11	7	11	9	11	11	10	11	11	11	11	11
1997	3	2	1	6	5	4	9	11	11	11	7	11	8	11	11	11	9	11	11	11	11
1998	1	1	3	5	6	3	9	11	7	9	7	11	9	11	11	11	9	11	11	11	11
1999	1	1	1	4	4	6	9	11	6	10	10	11	10	6	11	11	10	11	11	11	11
2000	2	4	4	6	3	7	1	11	7	10	11	11	11	11	11	7	11	11	11	11	11
2001	2	1	2	6	5	8	4	10	6	10	9	11	11	10	11	11	11	11	11	11	11
2002	2	1	2	5	5	8	4	9	5	9	9	11	11	11	11	11	11	11	11	11	11
2003	2	1	2	4	4	4	4	11	4	10	9	11	11	11	11	11	10	11	11	11	11
2004	1	1	3	5	4	5	5	11	5	11	9	11	11	11	11	11	11	11	11	11	9
2005	1	1	3	5	5	5	8	11	4	9	9	11	11	11	11	11	11	11	11	11	11
2006	1	1	3	5	7	5	7	11	4	9	9	11	11	11	11	11	11	11	11	11	11
2007	2	1	3	4	4	8	4	9	7	9	9	11	11	11	11	11	11	11	11	11	11
2008	2	1	3	4	7	8	5	9	5	9	11	11	11	11	11	11	11	11	11	11	11
2009	1	2	3	4	4	8	6	8	6	8	11	11	11	11	11	11	11	11	11	11	11
2010	1	1	3	4	4	10	4	8	4	8	11	11	11	11	11	11	11	11	11	11	11
2011	1	2	3	5	7	9	7	9	5	4	9	11	11	11	11	11	11	11	11	11	11
2012	1	1	3	5	5	10	5	5	5	4	11	11	11	11	11	11	11	11	11	11	11
2013	1	1	3	6	6	8	10	4	8	4	10	11	11	11	11	11	11	11	11	11	11
2014	2	1	3	5	7	7	10	5	7	4	10	11	11	11	11	11	11	11	11	11	11
2015	2	1	3	4	7	8	10	4	8	4	11	11	11	11	11	11	11	11	11	11	11
2016	2	1	3	4	7	8	10	4	9	4	11	11	11	11	11	10	11	11	11	11	11
2017	2	1	3	5	7	8	11	3	8	5	11	11	11	11	11	10	11	11	11	11	11
2018	2	1	3	5	5	9	10	3	8	5	11	11	11	11	11	11	11	11	11	11	11
2019	2	1	3	7	3	8	11	3	8	3	11	11	11	11	11	10	11	11	11	11	11
2020	2	1	3	6	3	10	11	6	6	3	11	11	11	11	11	11	9	11	11	11	11
2021	2	1	4	6	4	11	9	6	8	3	11	11	11	11	11	9	11	11	11	11	11
2021	2	1	4	6	4	11	9	6	8	3	11	11	11	11	11	9	11	11	11	11	11
